CK	WE	Din	Dout
0	0	xxxx	0000
0	0	0xxx	0000
0	0	00xx	0000
0	0	01xx	0000
0	0	010x	0000
0	0	0100	0000
0	1	0100	0000
1	1	0100	0100
0	1	0100	0100
0	0	0100	0100
0	0	0110	0100
0	0	1110	0100
1	0	1110	0100
1	0	1x10	0100
1	0	1010	0100
0	0	1010	0100
1	0	1010	0100
0	0	1010	0100
0	0	1011	0100
0	0	1111	0100
0	1	1111	0100
1	1	1111	1111
0	1	1111	1111
0	0	1111	1111
0	0	111x	1111
0	0	1110	1111
1	0	1110	1111
0	0	1110	1111
0	0	1x10	1111
0	0	1010	1111
0	0	x010	1111
0	0	0010	1111
1	0	0010	1111
0	0	0010	1111
0	0	00x0	1111
0	0	0000	1111
1	0	0000	1111
0	0	0000	1111
